,id,ori_path,adv_path,audibility2
123010,121-127105-0025-i11,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/121/127105/121-127105-0025.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_121-127105-0025_adv_x/wav_x_adv_i11_0.04911190284651182.wav,0.04911190284651182
123096,121-127105-0025-i12,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/121/127105/121-127105-0025.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_121-127105-0025_adv_x/wav_x_adv_i12_0.060479851173629175.wav,0.060479851173629175
123419,121-127105-0025-i10,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/121/127105/121-127105-0025.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_121-127105-0025_adv_x/wav_x_adv_i10_0.05262970550751368.wav,0.05262970550751368
125902,121-127105-0016-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/121/127105/121-127105-0016.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_121-127105-0016_adv_x/wav_x_adv_i2_0.049011603915572244.wav,0.049011603915572244
126800,6829-68771-0016-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68771/6829-68771-0016.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68771-0016_adv_x/wav_x_adv_i4_0.060669354559381945.wav,0.060669354559381945
127054,2961-960-0007-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2961/960/2961-960-0007.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2961-960-0007_adv_x/wav_x_adv_i2_0.03283375897701935.wav,0.03283375897701935
128510,61-70968-0017-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/61/70968/61-70968-0017.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_61-70968-0017_adv_x/wav_x_adv_i2_0.06138345211437847.wav,0.06138345211437847
130058,1284-1180-0030-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1284/1180/1284-1180-0030.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1284-1180-0030_adv_x/wav_x_adv_i5_0.03126728654927841.wav,0.03126728654927841
131455,6829-68771-0028-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68771/6829-68771-0028.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68771-0028_adv_x/wav_x_adv_i2_0.054834213708218435.wav,0.054834213708218435
131868,1284-1181-0004-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1284/1181/1284-1181-0004.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1284-1181-0004_adv_x/wav_x_adv_i2_0.05435687070947499.wav,0.05435687070947499
132845,1580-141084-0048-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1580/141084/1580-141084-0048.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1580-141084-0048_adv_x/wav_x_adv_i5_0.053892144192478016.wav,0.053892144192478016
133003,2300-131720-0016-i6,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2300/131720/2300-131720-0016.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2300-131720-0016_adv_x/wav_x_adv_i6_0.04561150751698897.wav,0.04561150751698897
133849,61-70970-0033-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/61/70970/61-70970-0033.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_61-70970-0033_adv_x/wav_x_adv_i1_0.04229784467324771.wav,0.04229784467324771
135468,1221-135766-0008-i9,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1221/135766/1221-135766-0008.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1221-135766-0008_adv_x/wav_x_adv_i9_0.034201684918213265.wav,0.034201684918213265
136276,2094-142345-0052-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0052.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0052_adv_x/wav_x_adv_i4_0.03698720705791776.wav,0.03698720705791776
137306,8224-274381-0012-i7,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8224/274381/8224-274381-0012.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8224-274381-0012_adv_x/wav_x_adv_i7_0.03415881026108977.wav,0.03415881026108977
138796,6829-68769-0001-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0001.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0001_adv_x/wav_x_adv_i4_0.033573367421853545.wav,0.033573367421853545
138827,6829-68769-0001-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0001.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0001_adv_x/wav_x_adv_i5_0.04648445027127028.wav,0.04648445027127028
143323,3575-170457-0034-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/3575/170457/3575-170457-0034.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_3575-170457-0034_adv_x/wav_x_adv_i4_0.047074274208143085.wav,0.047074274208143085
143589,8463-294828-0035-i10,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8463/294828/8463-294828-0035.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8463-294828-0035_adv_x/wav_x_adv_i10_0.04103573873845631.wav,0.04103573873845631
